FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
35464,753636,I,04/13/2018 00:00:00,,M,Outside/Open Areas
35476,754296,D,05/28/2018 00:00:00,7,M,Under Tree
34944,730218,I,02/04/2018 00:00:00,55,M,Vehicle/Towed Trailer
34947,730219,I,02/04/2018 00:00:00,63,F,Vehicle/Towed Trailer
34950,730295,I,02/09/2018 00:00:00,57,M,Outside/Open Areas
34951,730812,I,02/10/2018 00:00:00,42,M,Vehicle/Towed Trailer
35266,731146,I,02/19/2018 00:00:00,31,F,Vehicle/Towed Trailer
35264,731151,I,02/03/2018 00:00:00,15,F,Vehicle/Towed Trailer
35265,731151,I,02/03/2018 00:00:00,19,M,Vehicle/Towed Trailer
35009,732556,I,02/05/2018 00:00:00,73,M,Vehicle/Towed Trailer
35267,733561,I,02/25/2018 00:00:00,21,M,Camping
35023,734019,D,02/18/2018 00:00:00,74,M,Outside/Open Areas
35215,737279,D,02/24/2018 00:00:00,77,M,Vehicle/Towed Trailer
35239,737304,I,02/20/2018 00:00:00,18,M,Vehicle/Towed Trailer
35223,739742,D,02/17/2018 00:00:00,30,M,Outside/Open Areas
35248,740978,I,02/03/2018 00:00:00,22,M,Vehicle/Towed Trailer
35249,740979,I,02/03/2018 00:00:00,17,F,Vehicle/Towed Trailer
35250,740979,I,02/03/2018 00:00:00,13,F,Vehicle/Towed Trailer
35255,741419,D,02/06/2018 00:00:00,22,M,Outside/Open Areas
35268,742240,D,02/20/2018 00:00:00,47,M,Vehicle/Towed Trailer
35274,742595,D,02/21/2018 00:00:00,53,M,Vehicle/Towed Trailer
35275,742615,D,02/18/2018 00:00:00,74,M,Other
35284,743137,I,02/23/2018 00:00:00,,M,Vehicle/Towed Trailer
35278,743238,I,02/22/2018 00:00:00,50,,Vehicle/Towed Trailer
35279,743249,D,02/02/2018 00:00:00,70,F,Other
35280,743249,D,02/02/2018 00:00:00,61,F,Other
35261,740887,D,03/02/2018 00:00:00,45,M,Vehicle/Towed Trailer
35277,743228,I,03/28/2018 00:00:00,48,M,Vehicle/Towed Trailer
35272,735022,D,02/24/2018 00:00:00,79,F,Permanent Home
37373,736714,D,02/24/2018 00:00:00,69,M,Vehicle/Towed Trailer
35362,746515,D,03/02/2018 00:00:00,6,M,Mobile/Trailer Home
35358,746598,D,03/02/2018 00:00:00,44,M,Vehicle/Towed Trailer
36192,759483,D,07/24/2018 00:00:00,32,F,Permanent Home
37315,782878,I,08/31/2018 00:00:00,15,M,In Water
36376,789445,I,11/29/2018 00:00:00,20,M,Vehicle/Towed Trailer
36797,791228,D,11/02/2018 00:00:00,54,M,Permanent Structure
36798,791228,D,11/02/2018 00:00:00,37,M,Permanent Structure
37218,794496,I,11/15/2018 00:00:00,17,M,Vehicle/Towed Trailer
37219,794496,I,11/15/2018 00:00:00,26,M,Vehicle/Towed Trailer
37220,794496,I,11/15/2018 00:00:00,56,M,Vehicle/Towed Trailer
37221,794496,I,11/15/2018 00:00:00,57,M,Vehicle/Towed Trailer
37251,795857,D,11/08/2018 00:00:00,73,M,Permanent Home
37252,795857,D,11/08/2018 00:00:00,,,Vehicle/Towed Trailer
37253,795857,D,11/08/2018 00:00:00,,,Vehicle/Towed Trailer
37254,795858,D,11/08/2018 00:00:00,73,M,Permanent Home
37255,795858,D,11/08/2018 00:00:00,,,Vehicle/Towed Trailer
37256,795858,D,11/08/2018 00:00:00,,,Vehicle/Towed Trailer
37257,795859,D,11/08/2018 00:00:00,73,M,Permanent Home
37258,795859,D,11/08/2018 00:00:00,,,Vehicle/Towed Trailer
37259,795859,D,11/08/2018 00:00:00,,,Vehicle/Towed Trailer
37260,795860,D,11/08/2018 00:00:00,73,M,Permanent Home
37261,795860,D,11/08/2018 00:00:00,,,Vehicle/Towed Trailer
37262,795860,D,11/08/2018 00:00:00,,,Vehicle/Towed Trailer
37263,795861,D,11/08/2018 00:00:00,73,M,Permanent Home
37264,795861,D,11/08/2018 00:00:00,,,Vehicle/Towed Trailer
37265,795861,D,11/08/2018 00:00:00,,,Vehicle/Towed Trailer
35878,754786,D,07/05/2018 00:00:00,,,Unknown
35486,755349,D,07/01/2018 00:00:00,57,F,Mobile/Trailer Home
35508,755558,D,07/05/2018 00:00:00,,,Unknown
35489,756196,D,07/07/2018 00:00:00,62,M,In Water
35668,756201,I,07/05/2018 00:00:00,72,M,Outside/Open Areas
35688,756300,D,07/10/2018 00:00:00,36,F,Vehicle/Towed Trailer
35689,756300,D,07/10/2018 00:00:00,77,M,Vehicle/Towed Trailer
35788,758037,D,07/19/2018 00:00:00,3,M,Vehicle/Towed Trailer
35551,759719,D,07/19/2018 00:00:00,32,M,In Water
35622,760551,D,07/11/2018 00:00:00,61,M,In Water
35901,761147,D,07/03/2018 00:00:00,24,M,In Water
35571,761300,D,07/17/2018 00:00:00,60,M,Outside/Open Areas
35577,762222,D,07/01/2018 00:00:00,47,F,In Water
35579,762346,D,07/29/2018 00:00:00,65,M,In Water
35626,763448,D,07/23/2018 00:00:00,56,M,Under Tree
35612,764060,D,07/19/2018 00:00:00,64,M,Outside/Open Areas
35883,766986,D,07/09/2018 00:00:00,0,M,Mobile/Trailer Home
35670,767811,D,07/14/2018 00:00:00,36,M,Outside/Open Areas
35671,767811,D,07/29/2018 00:00:00,33,M,Under Tree
35672,768073,D,07/14/2018 00:00:00,36,M,Outside/Open Areas
35673,768073,D,07/29/2018 00:00:00,33,M,Under Tree
35725,773530,I,07/02/2018 00:00:00,62,M,Unknown
35723,773530,I,07/01/2018 00:00:00,53,M,Outside/Open Areas
35724,773530,D,07/02/2018 00:00:00,78,M,Outside/Open Areas
35727,773530,I,07/02/2018 00:00:00,61,F,Outside/Open Areas
35729,773530,I,07/04/2018 00:00:00,52,M,Outside/Open Areas
35728,773530,D,07/04/2018 00:00:00,78,F,Permanent Home
35730,773530,D,07/05/2018 00:00:00,49,F,Permanent Home
35726,773530,D,07/02/2018 00:00:00,65,M,Vehicle/Towed Trailer
35731,773531,D,07/05/2018 00:00:00,78,M,Outside/Open Areas
35733,773532,D,07/06/2018 00:00:00,47,M,Outside/Open Areas
35734,773532,D,07/07/2018 00:00:00,28,M,Outside/Open Areas
35735,773532,D,07/07/2018 00:00:00,47,M,Outside/Open Areas
35736,773532,D,07/08/2018 00:00:00,84,F,Outside/Open Areas
35737,773532,D,07/09/2018 00:00:00,60,M,Outside/Open Areas
35739,773532,D,07/10/2018 00:00:00,71,M,Outside/Open Areas
35740,773532,I,07/10/2018 00:00:00,46,M,Outside/Open Areas
35732,773532,D,07/06/2018 00:00:00,78,F,Permanent Home
35738,773532,D,07/10/2018 00:00:00,56,M,Permanent Home
35741,773533,I,07/13/2018 00:00:00,57,M,Outside/Open Areas
35743,773534,D,07/11/2018 00:00:00,70,M,Outside/Open Areas
35744,773534,D,07/11/2018 00:00:00,48,M,Outside/Open Areas
35745,773534,D,07/12/2018 00:00:00,62,M,Outside/Open Areas
35747,773534,D,07/14/2018 00:00:00,61,M,Outside/Open Areas
35742,773534,D,07/11/2018 00:00:00,70,M,Permanent Home
35746,773534,D,07/12/2018 00:00:00,28,M,Vehicle/Towed Trailer
35748,773534,I,07/15/2018 00:00:00,29,M,Vehicle/Towed Trailer
35749,773535,I,07/16/2018 00:00:00,47,M,Outside/Open Areas
35751,773535,I,07/17/2018 00:00:00,59,M,Outside/Open Areas
35752,773535,I,07/17/2018 00:00:00,64,M,Outside/Open Areas
35754,773535,D,07/19/2018 00:00:00,,M,Outside/Open Areas
35750,773535,D,07/17/2018 00:00:00,79,F,Permanent Home
35753,773535,I,07/18/2018 00:00:00,99,F,Permanent Home
35755,773536,D,07/20/2018 00:00:00,35,M,Outside/Open Areas
35756,773536,D,07/20/2018 00:00:00,50,M,Outside/Open Areas
35757,773536,D,07/21/2018 00:00:00,53,M,Outside/Open Areas
35758,773536,I,07/22/2018 00:00:00,63,M,Outside/Open Areas
35759,773536,I,07/23/2018 00:00:00,75,M,Permanent Home
35761,773537,I,07/25/2018 00:00:00,68,M,Unknown
35773,773537,D,07/28/2018 00:00:00,59,M,Other
35760,773537,D,07/24/2018 00:00:00,54,M,Outside/Open Areas
35762,773537,I,07/25/2018 00:00:00,75,F,Outside/Open Areas
35764,773537,D,07/26/2018 00:00:00,56,M,Outside/Open Areas
35765,773537,D,07/26/2018 00:00:00,44,M,Outside/Open Areas
35766,773537,D,07/26/2018 00:00:00,58,M,Outside/Open Areas
35770,773537,D,07/27/2018 00:00:00,41,M,Outside/Open Areas
35771,773537,D,07/28/2018 00:00:00,46,M,Outside/Open Areas
35772,773537,D,07/28/2018 00:00:00,54,M,Outside/Open Areas
35763,773537,D,07/25/2018 00:00:00,71,F,Permanent Home
35767,773537,D,07/26/2018 00:00:00,68,M,Permanent Home
35768,773537,I,07/26/2018 00:00:00,55,M,Permanent Home
35769,773537,D,07/27/2018 00:00:00,66,F,Permanent Home
35774,773537,D,07/29/2018 00:00:00,42,F,Permanent Home
35775,773537,D,07/29/2018 00:00:00,81,M,Permanent Home
35776,773537,D,07/30/2018 00:00:00,75,M,Permanent Home
35880,774967,D,07/06/2018 00:00:00,78,M,Vehicle/Towed Trailer
35857,775396,I,07/16/2018 00:00:00,25,M,In Water
35858,775400,I,07/18/2018 00:00:00,68,M,In Water
35862,775579,D,07/15/2018 00:00:00,43,F,In Water
35863,775581,D,07/25/2018 00:00:00,41,M,In Water
35879,776172,D,07/21/2018 00:00:00,20,M,In Water
35623,764696,I,08/03/2018 00:00:00,53,M,Vehicle/Towed Trailer
35853,774127,I,08/20/2018 00:00:00,34,M,In Water
35854,774128,I,08/20/2018 00:00:00,32,F,In Water
35994,775409,D,08/20/2018 00:00:00,70,M,Outside/Open Areas
38907,788080,D,10/08/2018 00:00:00,63,F,Camping
38908,788080,D,10/08/2018 00:00:00,65,M,Camping
38909,788080,D,10/08/2018 00:00:00,55,M,Camping
38910,788080,D,10/08/2018 00:00:00,51,M,Camping
38955,794526,D,11/06/2018 00:00:00,41,F,Permanent Home
38804,824113,D,11/29/2018 00:00:00,61,M,Outside/Open Areas
36066,771912,D,09/02/2018 00:00:00,49,M,Outside/Open Areas
35786,773417,D,09/09/2018 00:00:00,9,M,In Water
35777,773823,D,09/09/2018 00:00:00,64,M,In Water
35991,773826,D,09/10/2018 00:00:00,24,M,In Water
35886,776881,I,09/28/2018 00:00:00,1,M,Vehicle/Towed Trailer
35887,776881,I,09/28/2018 00:00:00,,F,Vehicle/Towed Trailer
35904,778074,D,09/15/2018 00:00:00,17,M,In Water
35990,780582,D,09/23/2018 00:00:00,43,M,In Water
36025,783402,D,09/07/2018 00:00:00,85,M,Permanent Home
36026,783402,D,09/07/2018 00:00:00,71,M,Permanent Home
36027,783403,D,09/09/2018 00:00:00,41,M,Outside/Open Areas
36028,783404,D,09/17/2018 00:00:00,58,M,Outside/Open Areas
36138,783701,D,09/23/2018 00:00:00,23,F,Vehicle/Towed Trailer
36081,784008,D,09/07/2018 00:00:00,35,M,Vehicle/Towed Trailer
36137,784424,D,09/08/2018 00:00:00,40,M,Vehicle/Towed Trailer
36077,785023,D,09/06/2018 00:00:00,33,M,Outside/Open Areas
36084,785388,D,09/08/2018 00:00:00,69,M,In Water
36087,785476,D,09/08/2018 00:00:00,18,F,In Water
36088,785476,D,09/08/2018 00:00:00,2,F,In Water
36091,785483,D,09/10/2018 00:00:00,54,F,Permanent Home
36098,786080,D,09/21/2018 00:00:00,23,M,In Water
36115,786781,D,09/17/2018 00:00:00,53,F,Unknown
36116,786876,D,09/29/2018 00:00:00,27,M,Outside/Open Areas
36119,786922,D,09/17/2018 00:00:00,60,M,Business
36136,787252,D,09/26/2018 00:00:00,61,F,Outside/Open Areas
36139,787800,D,09/16/2018 00:00:00,0,M,Mobile/Trailer Home
36140,787816,I,09/15/2018 00:00:00,61,F,Vehicle/Towed Trailer
36141,787817,D,09/09/2018 00:00:00,49,M,Other
36142,787817,D,09/09/2018 00:00:00,41,F,Other
36144,787887,D,09/16/2018 00:00:00,1,M,Vehicle/Towed Trailer
36145,787914,D,09/17/2018 00:00:00,88,M,Vehicle/Towed Trailer
36146,787921,D,09/18/2018 00:00:00,46,F,Vehicle/Towed Trailer
35538,743632,D,05/04/2018 00:00:00,36,M,Under Tree
35341,746849,D,05/21/2018 00:00:00,,F,In Water
36824,764407,D,06/25/2018 00:00:00,14,M,Camping
36809,784380,D,07/04/2018 00:00:00,,M,Outside/Open Areas
36074,784961,I,09/14/2018 00:00:00,61,,Permanent Home
36075,784961,I,09/14/2018 00:00:00,63,,Permanent Home
